id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
542,Malachit D4,Pulver zum Einnehmen 50 g,Lieferbar,,205581,5124936,7611916146749,FM / nach ALT,,
543,Malachit D6,Pulver zum Einnehmen 50 g,Lieferbar,,205582,5124959,7611916146756,FM / nach ALT,,
544,Mandragora 5%,Crème 25 g,Lieferbar,,100586,7824344,7611916161490,FM / nach ALT,,
545,"Mandragora, ethanol. Decoctum D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,205584,5124971,7611916146770,FM / SL,,2069674
546,"Mandragora, ethanol. Decoctum D6",Tropfen zum Einnehmen 50 ml,Lieferbar,,205586,5125545,7611916146794,FM / SL,,2069674
547,Mandragora comp.,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,111027,4134588,7611916112188,B / SL,59987,8x2070588
548,Mandragora comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124952,5059417,7611916154065,D / SL,59525,2070370
549,Marmor D6 / Stibium D6 aa,Injektionslösung 8 Amp.,Lieferbar,,111030,4134602,7611916112249,B / SL,59986,8x2070565
550,Marmor D6 / Stibium D6 aa,Pulver zum Einnehmen 50 g,Lieferbar,,124431,5059423,7611916152962,D / -,414043,
551,Melissa Cupro culta D2,Tropfen zum Einnehmen 50 ml,Lieferbar,,124953,5059446,7611916154072,D / SL,415324,2069674
552,Melissa Cupro culta Rh D2,Ampullen 8 st,Gestrichen (Lieferbar: Tropfen zum Einnehmen),,124315,4134631,7611916151460,B,59723,8x2070631
553,Mercurialis perennis 20%,Flüssigkeit zur Anwendung auf der Haut 20 ml,Lieferbar,,124258,7226109,7611916155864,D / SL,416460,2070111
554,Mercurialis perennis 20%,Flüssigkeit zur Anwendung auf der Haut 100 ml,Lieferbar,,111068,7262068,7611916155871,D / SL,416460,2070128
555,Mercurialis perennis 10%,Crème 25 g,Lieferbar,,124989,4572851,7611916136238,D / SL,411837,2070140
556,Mercurialis perennis D3,Augentropfen 10 ml,Lieferbar,,117240,7256398,7611916157172,D / -,59633,
557,Mercurius auratus D8,Pulver zum Einnehmen 50 g,Lieferbar,,124724,5773824,7611916153617,FM / nach ALT,,
558,Mercurius auratus D15,Injektionslösung 8 Amp.,Lieferbar,,124275,4134677,7611916151057,B / SL,404612,8x2070654
559,Mercurius cyanatus D6,Dilution 50 ml,Gestrichen,,124583,7717853,7611916158568,B,59722,2069674
561,Mercurius vivus naturalis D6,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,111058,4137931,7611916112546,B / SL,59614,8x2070631
562,Mercurius vivus naturalis D6,Tabletten 50 g,Lieferbar,,124504,5059587,7611916153242,B / SL,59756,2069674
